46,RIVERA,391114,0.054,0.0095,0.0204,0.0018,0.0037,0.9106
47,CAMPBELL,386157,0.7366,0.2047,0.0053,0.0071,0.0213,0.0249
48,MITCHELL,384486,0.6102,0.325,0.0048,0.0104,0.025,0.0247
49,CARTER,376966,0.582,0.3559,0.0045,0.0078,0.0265,0.0234
50,ROBERTS,376774,0.7727,0.1672,0.0061,0.0085,0.0215,0.024
51,GOMEZ,365655,0.0512,0.0075,0.0101,0.0026,0.0026,0.926
52,PHILLIPS,360802,0.7669,0.1709,0.0058,0.0103,0.0217,0.0244
53,EVANS,355593,0.6839,0.2572,0.0047,0.0074,0.023,0.0239
54,TURNER,348627,0.6425,0.3013,0.0042,0.006,0.0238,0.0223
55,DIAZ,347636,0.0519,0.0065,0.0119,0.0016,0.0025,0.9256
56,PARKER,336221,0.6917,0.2479,0.0054,0.0088,0.0235,0.0226
57,CRUZ,334201,0.0517,0.008,0.0519,0.0027,0.007,0.8788
58,EDWARDS,332423,0.6213,0.3163,0.005,0.0077,0.0247,0.025
59,COLLINS,329770,0.7161,0.2243,0.0049,0.0077,0.0223,0.0247
60,REYES,327904,0.0441,0.0059,0.0558,0.0024,0.0059,0.8858
61,STEWART,324957,0.6917,0.2486,0.0048,0.0077,0.0224,0.0249
62,MORRIS,318884,0.7359,0.2008,0.0057,0.0098,0.0224,0.0255
63,MORALES,311777,0.0463,0.0057,0.0118,0.0017,0.0021,0.9323
64,MURPHY,308417,0.8311,0.1153,0.0058,0.0068,0.0176,0.0234
65,COOK,302589,0.818,0.1255,0.0057,0.0092,0.0198,0.0217
66,ROGERS,302261,0.754,0.1853,0.0054,0.0082,0.021,0.0262
67,GUTIERREZ,293218,0.0457,0.0024,0.014,0.0025,0.002,0.9333
68,ORTIZ,286899,0.0496,0.0064,0.0067,0.0037,0.0025,0.9311
69,MORGAN,286280,0.7607,0.1727,0.0054,0.0124,0.021,0.0278
70,COOPER,280791,0.6793,0.2613,0.005,0.0074,0.0231,0.024
71,PETERSON,278297,0.8439,0.1009,0.0066,0.0074,0.0172,0.024
72,BAILEY,277845,0.7245,0.22,0.005,0.0062,0.0216,0.0228
73,REED,277030,0.7129,0.2263,0.0051,0.0105,0.023,0.0222
74,KELLY,267394,0.7809,0.1622,0.0064,0.0054,0.0181,0.0269
75,HOWARD,264826,0.6431,0.2949,0.005,0.0087,0.0246,0.0237
76,RAMOS,263464,0.0649,0.0098,0.0489,0.0019,0.0065,0.8679
77,KIM,262352,0.0252,0.0039,0.9447,0.0002,0.0196,0.0065
78,COX,261231,0.8262,0.1207,0.005,0.0067,0.0182,0.0233
79,WARD,260464,0.7558,0.185,0.0049,0.0091,0.0208,0.0244
80,RICHARDSON,259798,0.597,0.3363,0.0048,0.011,0.0244,0.0265
81,WATSON,252579,0.6603,0.279,0.0053,0.0082,0.023,0.0241
82,BROOKS,251663,0.6022,0.3347,0.0048,0.0079,0.0256,0.0248
83,CHAVEZ,250898,0.0502,0.0021,0.0065,0.0094,0.0023,0.9296
84,WOOD,250715,0.8872,0.0557,0.0066,0.0084,0.0179,0.0242
85,JAMES,249379,0.5158,0.3886,0.0127,0.0258,0.0264,0.0308
86,BENNETT,247599,0.7656,0.1753,0.0053,0.0088,0.0199,0.025
87,GRAY,246116,0.6868,0.2513,0.0054,0.0091,0.0233,0.0241
88,MENDOZA,242771,0.0411,0.0035,0.0491,0.0024,0.0042,0.8997
89,RUIZ,238234,0.0517,0.0044,0.0103,0.0022,0.0024,0.9289
90,HUGHES,236271,0.7839,0.1613,0.005,0.0053,0.0197,0.0247
91,PRICE,235251,0.7393,0.2051,0.0051,0.0066,0.0214,0.0224
92,ALVAREZ,233983,0.0518,0.006,0.0116,0.0038,0.0023,0.9245
93,CASTILLO,230420,0.0492,0.0072,0.0304,0.0059,0.0046,0.9026
94,SANDERS,230374,0.6078,0.3297,0.0041,0.0084,0.0243,0.0257
95,PATEL,229973,0.021,0.0038,0.9478,0.0065,0.0165,0.0044
96,MYERS,229895,0.845,0.1054,0.005,0.0055,0.018,0.021
97,LONG,229374,0.7988,0.121,0.0248,0.0132,0.0197,0.0224
98,ROSS,229368,0.6896,0.2446,0.0061,0.009,0.0232,0.0275
99,FOSTER,227764,0.6965,0.2394,0.0055,0.0088,0.0233,0.0265
